account,date,trade_count,avg_trade_size_usd,total_exposure_usd,avg_fee,daily_pnl,win_rate,pnl_count,long_ratio,drawdown_proxy,value,classification,sentiment
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-28,207,946.0768115942029,195837.9,0.3250520917874396,165.532644,0.6782608695652174,115.0,0.32367149758454106,149.09383800000023,77.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-29,206,388.948786407767,80123.45,0.14181302791262138,9551.73423,0.8518518518518519,108.0,0.3058252427184466,0.0,78.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-30,154,315.52253246753247,48590.47,0.11540693584415583,5590.528248,0.8160919540229885,87.0,0.2077922077922078,0.0,84.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-01,193,247.12725388601035,47695.56,0.08344802813471502,4458.25495,0.8981481481481481,108.0,0.24352331606217617,0.0,81.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-02,140,140.36935714285713,19651.71,0.04506769457142857,1283.846047,0.9733333333333334,75.0,0.19285714285714287,0.0,80.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-03,78,92.37217948717948,7205.03,0.03824139743589744,1190.358719,1.0,37.0,0.08974358974358974,0.0,76.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-04,112,165.78285714285715,18567.68,0.06453334133928572,9066.169646,0.9836065573770492,61.0,0.14285714285714285,0.0,78.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-05,98,259.2459183673469,25406.1,0.09516680530612245,14685.787664,1.0,48.0,0.22448979591836735,0.0,84.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-06,69,129.80536231884057,8956.57,0.04213746376811594,389.176232,1.0,16.0,0.2463768115942029,0.0,72.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-07,86,159.67825581395348,13732.33,0.04265406697674419,4008.012049,1.0,36.0,0.10465116279069768,0.0,75.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-08,102,77.67176470588235,7922.52,0.027584586666666668,554.009942,1.0,43.0,0.09803921568627451,0.0,79.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-09,213,88.1318309859155,18772.08,0.03188798314553991,768.430838,0.9767441860465116,129.0,0.24413145539906103,0.0,78.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-10,157,119.62222929936306,18780.69,0.03704529643312102,980.557461,0.9636363636363636,110.0,0.10828025477707007,0.0,78.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-11,93,124.41204301075268,11570.32,0.044312075268817204,1582.001112,0.8,40.0,0.08602150537634409,0.0,74.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,147,150.14530612244897,22071.36,0.047611308979591836,5806.86932,0.9425287356321839,87.0,0.06802721088435375,0.0,83.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-13,155,88.59193548387097,13731.75,0.040318781419354834,1522.284412,0.8658536585365854,82.0,0.2709677419354839,0.0,76.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-14,154,187.5361038961039,28880.56,0.064015512987013,13281.73126,0.9754098360655737,122.0,0.1038961038961039,0.0,83.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-15,137,125.00722627737227,17125.99,0.04766361605839416,5389.96219,0.9577464788732394,71.0,0.2773722627737226,0.0,80.0,Extreme Greed,GREED
